2.9387,2.9093,11.457,0.69,1.15,0.94,24.77,41.48,33.74,0.11,21.29,0
3.2224,2.8329,11.508,0.81,1.33,0.97,25.94,42.83,31.22,0.11,-79.51,0
2.4844,2.7936,10.819,0.61,1.06,0.7,25.62,44.85,29.52,0.09,9.6,0
2.9304,2.5808,11.294,0.71,1.22,0.84,25.78,43.94,30.28,0.08,105.36,0
3.7864,2.7025,12.235,0.92,1.39,1.37,24.99,37.82,37.18,0.14,234.24,0
4.0136,2.6316,12.317,0.99,1.45,1.49,25.11,36.97,37.92,0.14,225.38,0
3.7565,2.3848,11.739,0.71,1.04,1.9,19.36,28.53,52.11,0.11,575.56,1
4.8561,2.4404,12.906,0.9,1.24,2.6,18.94,26.13,54.93,0.15,843.53,1
3.9171,2.4706,11.992,0.73,1.12,1.88,19.47,29.96,50.57,0.12,556.77,1
3.3249,2.4225,11.316,0.59,0.97,1.6,18.71,30.68,50.61,0.08,513.29,1
5.2871,2.4361,13.276,1.09,1.52,2.51,21.3,29.72,48.98,0.1,609.08,1
3.4478,2.4439,11.516,0.67,1.05,1.57,20.45,31.85,47.7,0.03,471.02,1
1.9193,2.4494,10.213,0.39,0.65,0.81,21.34,35.09,43.58,-0.04,315.99,1
4.8081,2.2438,12.745,0.84,1.45,2.31,18.31,31.47,50.22,0.06,595.99,1
4.495,2.2666,12.426,0.83,1.18,2.44,18.68,26.46,54.85,0.07,805.22,1
4.6498,2.4399,12.621,0.93,1.34,2.16,21.05,30.28,48.66,0.09,568.33,1
3.2166,2.5682,11.315,0.69,0.95,1.4,22.51,31.37,46.12,0.03,422.29,1
2.4485,2.543,10.593,0.53,0.78,1.02,22.75,33.62,43.63,0.01,305.52,1
3.2359,2.5736,11.285,0.71,1.03,1.34,23.09,33.39,43.53,0.03,295.83,1
3.3717,2.6222,11.502,0.77,1.1,1.36,23.81,34.01,42.18,0.03,305.12,1
4.0121,2.7148,12.342,0.81,1.26,1.73,21.28,33.11,45.61,0.06,419.78,1
2.7558,2.6251,10.88,0.68,0.94,1.03,25.5,35.53,38.97,0.03,173.25,1
3.5551,2.6578,11.736,0.82,1.14,1.45,24.17,33.41,42.41,0.06,264.16,1
4.702,2.7019,12.938,1.12,1.52,1.93,24.51,33.3,42.2,0.09,353.42,1
2.9958,2.7245,11.287,0.69,0.98,1.17,24.43,34.38,41.19,0.03,317.53,1
3.9429,2.8544,12.541,0.88,1.55,1.3,23.6,41.54,34.86,0.08,237.77,0
3.2447,2.8896,11.921,0.81,1.33,0.96,26.14,42.88,30.98,0.05,172.93,0
4.316,3.0348,13.118,1.07,1.69,1.37,25.88,40.86,33.26,0.08,130.68,0
3.6239,3.03975,12.3455,0.89,1.195,1.495,24.765,33.385,41.855,0.06,397.8,1
