ID,LACT,DIMatSample,DIMatBreeding,DateofBreeding,ReasonBred,Milking.Shift,Fat...D,CU.Protein,CU.Lactose,Tot.Solids,SNF,NPN.CU,Denovo.FA,Mixed.FA,Performed.FA,DeNovo.Cal.Rel.,Mixed.Cal.Rel..,Preformed.Cal.Rel..,mChainL,mUnsat,PalmiticAcid,StearicAcid,OleicAcid,C181T10,C181T11,SatFAmasspermass,MonoFAmasspermass,PolyFAsmasspermass,FreeFA,CisFAmasspermass,TransFAmasspermass,CitricAcid,BHB,Acetone,Blood.NEFA..ueq.L.,Conductivity,preg
1419,7,59,60,7/16/16,Lut2,M1,3.3717,2.6222,4.4493,11.502,8.108,10.1,0.77,1.1,1.36,23.81,34.01,42.18,14.59,0.35,1.11,0.27,0.85,0.009,0.032,2.13,1.01,0.13,1.2,1.06,0.05,1186,0.03,0.03,305.12,7.66,TRUE
1419,7,62,60,7/16/16,Lut2,M1,4.0121,2.7148,4.5431,12.342,8.314,11.7,0.81,1.26,1.73,21.28,33.11,45.61,14.7,0.37,1.27,0.37,1.1,0.007,0.049,2.44,1.29,0.17,0.9,1.35,0.07,1394,0.06,0.05,419.78,7.6,TRUE
1419,7,63,60,7/16/16,Lut2,M1,2.7558,2.6251,4.4464,10.88,8.102,7.9,0.68,0.94,1.03,25.5,35.53,38.97,14.48,0.33,0.97,0.24,0.63,-0.001,0.015,1.85,0.72,0.09,0.9,0.78,0.01,1119,0.03,0.02,173.25,7.86,TRUE
1419,7,64,60,7/16/16,Lut2,M1,3.5551,2.6578,4.4602,11.736,8.161,9.5,0.82,1.14,1.45,24.17,33.41,42.41,14.53,0.34,1.16,0.32,0.88,0.003,0.028,2.29,1.02,0.14,1.1,1.09,0.04,1271,0.06,0.05,264.16,7.71,TRUE
1419,7,65,60,7/16/16,Lut2,M1,4.702,2.7019,4.4568,12.938,8.217,10.4,1.12,1.52,1.93,24.51,33.3,42.2,14.36,0.32,1.53,0.44,1.08,0.01,0.048,3.07,1.3,0.19,1,1.36,0.08,1273,0.09,0.09,353.42,7.59,TRUE
1419,7,66,60,7/16/16,Lut2,M1,2.9958,2.7245,4.5037,11.287,8.274,10.9,0.69,0.98,1.17,24.43,34.38,41.19,14.52,0.35,1,0.24,0.75,0.002,0.025,1.91,0.86,0.12,0.8,0.94,0.03,1234,0.03,0.03,317.53,7.62,TRUE
1532,6,75,92,10/15/16,TimeBred,M1,3.9429,2.8544,4.6551,12.541,8.596,6,0.88,1.55,1.3,23.6,41.54,34.86,14.3,0.27,1.45,0.37,0.82,0.002,0.019,2.63,1.02,0.1,0.8,1.09,0.01,1399,0.08,0.09,237.77,7.01,FALSE
1532,6,82,92,10/15/16,TimeBred,M1,3.2447,2.8896,4.681,11.921,8.67,8.2,0.81,1.33,0.96,26.14,42.88,30.98,14.09,0.23,1.24,0.29,0.6,-0.002,0.009,2.29,0.73,0.05,0.8,0.78,0,1436,0.05,0.05,172.93,6.98,FALSE
1532,6,89,92,10/15/16,TimeBred,M1,4.316,3.0348,4.65,13.118,8.8,9,1.07,1.69,1.37,25.88,40.86,33.26,14.09,0.22,1.58,0.42,0.78,0.007,0.02,3.03,0.96,0.1,0.6,1.02,0.03,1370,0.08,0.08,130.68,6.83,FALSE
1739,5,41,60,4/23/16,SCRHeat,M1,3.6239,3.03975,4.61805,12.3455,8.7205,12.65,0.89,1.195,1.495,24.765,33.385,41.855,14.165,0.29,1.19,0.35,0.75,0.011,0.028,2.41,0.95,0.15,0.3,1,0.05,1565,0.06,0.085,397.8,7.035,TRUE
1739,5,42,60,4/23/16,SCRHeat,M1,4.70195,2.7263,4.58465,13.0645,8.3515,12.85,1.13,1.56,1.9,24.605,33.985,41.41,14.17,0.295,1.54,0.43,1,0.022,0.05,3.09,1.28,0.2,0.2,1.32,0.1,1687,0.095,0.115,356.575,6.81,TRUE
1739,5,43,60,4/23/16,SCRHeat,M1,3.84215,2.8697,4.59435,12.3605,8.511,11.4,0.95,1.375,1.455,25.165,36.36,38.48,14.13,0.27,1.36,0.35,0.75,0.011,0.028,2.62,0.96,0.13,0.5,0.99,0.05,1641,0.075,0.105,342.54,6.945,TRUE
1739,5,44,60,4/23/16,SCRHeat,M1,3.4799,2.82,4.6647,12.0125,8.526,10.85,0.92,1.265,1.255,26.685,36.805,36.51,14.095,0.265,1.26,0.28,0.64,0.01,0.015,2.42,0.81,0.11,1,0.86,0.03,1495,0.06,0.09,311.18,7.09,TRUE
